                        u ^3 Pi_u  6p-pi      u  1  3  .  u  [123488.0]           .           .           .      [29.3]           .           .     [0.023]           .     [1.069]
               t ^3 Sigma_u ^+  5f-sigma      t  0  3  +  u    (121292)    (2661.4)     (121.9)           .           .           .           .           .           .           .
              q (^3 Sigma_g ^+) 5d-sigma      q  0  3  +  g    (121295)    [2172.6]           .           .           .           .           .           .           .           .
                        n ^3 Pi_u  5p-pi      n  1  3  .  u    120952.9      2321.4       62.86           .       29.95        1.24           .     [0.023]           .       1.057
               m ^3 Sigma_u ^+  4f-sigma      m  0  3  +  u    (119317)    [2457.1]           .           .           .           .           .           .           .           .
                  s ^3 Delta_g  4d-delta      s  2  3  .  g    118875.2      2291.7       62.44           .           .           .           .           .           .           .
                        r ^3 Pi_g  4d-pi      r  1  3  .  g    118613.7      2280.3       57.96           .           .           .           .           .           .           .
               p ^3 Sigma_g ^+  4d-sigma      p  0  1  +  g    118509.8      2303.1       76.90           .           .           .           .           .           .           .
                             v (^3 Pi_g)      v  1  3  .  g    (118330)        2340        (57)           .    [(29.1)]           .           .           .           .   [(1.072)]
                        k ^3 Pi_u  4p-pi      k  1  3  .  u    118366.2     2344.37       67.29        0.99      30.074       1.462           .    [0.0185]           .      1.0547
               f ^3 Sigma_u ^+  4p-sigma      f  0  3  +  u    (116705)    [2143.6]           .           .      [27.0]           .           .           .           .      [1.11]
                         o ^3 Sigma_u ^+      o  0  3  +  u    (114234)      2399.1        91.0           .        [35]           .           .           .           .      [0.98]
                               l ^3 Pi_u      l  1  3  .  u      113825      2596.8       106.0           .        [36]           .           .           .           .      [0.96]
                  j ^3 Delta_g  3d-delta      j  2  3  .  g    (113533)     2345.26       66.56       0.745      30.085       1.692           .      0.0190           .      1.0545
                        i ^3 Pi_g  3d-pi      i  1  1  .  g    (113132)     2253.55       67.05           .      29.221       1.506           .      0.0176           .      1.0700
               h ^3 Sigma_g ^+  3s-sigma      h  0  3  +  g    (112913)   [2268.73]           .           .     [30.62]           .           .           .           .      1.0451
               g ^3 Sigma_g ^+  3d-sigma      g  0  1  +  g    112854.4     2290.86      105.43       2.403           .           .           .           .           .           .
                        d ^3 Pi_u  3p-pi      d  1  3  .  u    112700.3     2371.58       66.27        0.88      30.364       1.545           .      [1.91]           .      1.0496
               e ^3 Sigma_u ^+  3p-sigma      e  0  3  +  u    107774.7     2196.13       65.80      -0.433       27.30       1.515           .           .           .       1.107
               a ^3 Sigma_g ^+  2s-sigma      a  0  1  +  g     95936.1     2664.83       71.65        0.92      34.216       1.671           .    [0.0216]           .     0.98879
                        c ^3 Pi_u  3p-pi      c  1  3  .  u     95838.5     2466.89       63.51       0.552       31.07       1.425           .    [0.0195]           .      1.0376
                       D" ^1 Pi_u  5p-pi     D"  1  1  .  u    121211.0     2319.92      63.041           .       30.76        1.45           .      (0.03)           .       1.043
                       D' ^1 Pi_u  4p-pi     D'  1  1  .  u    118865.3     2329.97      63.140           .       29.89        1.11       -0.53     [0.025]           .   [(1.058)]
                  S ^1 Delta_g  4d-delta      S  2  1  .  g    [119893]           .           .           .    [(28.8)]           .           .           .           .   [(1.078)]
                  O ^1 Sigma^+  4s-sigma      O  0  1  +  .  [(119870)]           .           .           .      [(32)]           .           .           .           .    [(1.02)]
                        R ^1 Pi_g  4d-pi      R  1  1  .  g    (118688)      [2142]           .           .      [(30)]           .           .           .           .    [(1.06)]
               P ^1 Sigma_g ^+  4d-sigma      P  0  1  +  g    [119531]           .           .           .      [(30)]           .           .           .           .    [(1.06)]
                            T ^1 Sigma^+      T  0  1  +  .  [119512.6]           .           .           .    [(25.4)]           .           .           .           .   [(1.148)]
              B" ^1 Sigma_u ^+  4p-sigma     B"  0  1  +  u    117984.5      2197.5      68.136           .       26.68        1.19           .     [0.034]           .  [(1.1198)]
                         N ^1 Sigma_g ^+      N  0  1  +  g    (116287)    [1983.3]           .           .    [(18.4)]           .           .           .           .    [(1.35)]
                       U (^1 Sigma_g ^+)      U  0  1  +  g  [116707.7]           .           .           .    [(18.8)]           .           .           .           .    [(1.33)]
                         M ^1 Sigma_g ^+      M  0  1  +  g    (114485)    [2176.0]           .           .      [(13)]           .           .           .           .    [(1.60)]
