                                     B_3    B_3 -1 -1  .  .  a3+18121.4       792.9         4.1           .      0.3818      0.0025           .        4E-7           .      1.7871
                          B_2  (Omega=3)    B_2 -1 -1  .  .    a2+18101       [783]           .           .     [0.382]           .           .      [6E-7]           .     [1.787]
                                     B_1    B_1 -1 -1  .  .           .           .           .           .   [(0.384)]           .           .           .           .    [(1.78)]
                                     A_3    A_3 -1 -1  .  .          a3       863.5         4.6           .      0.4137      0.0028           .        3E-7           .      1.7168
                          A_2  (Omega=3)    A_2 -1 -1  .  .          a2       [855]           .           .    [0.4144]           .           .    [3.9E-7]           .    [1.7154]
                                     A_1    A_1 -1 -1  .  .          a1           .           .           .   [(0.414)]           .           .           .           .    [(1.72)]
