                                 C ^1 Pi      C  1  1  .  .     47365.7  (542.35)()        9.55        -0.6     (0.358)   (0.00535)           .           .           .     (1.778)
                               B ^3 Pi_1      B  1  3  .  .     33427.8       662.1        1.45      -0.433     0.37198     0.00302           .           .           .      1.7444
                              A ^3 Pi_0+      A  1  3  .  .     33105.5      663.02        2.18       -0.31     0.37098   (0.00302)           .           .           .      1.7467
                            X ^1 Sigma^+      X  0  1  +  .           0       622.2         3.2           .   0.3595161   2.8642E-3   0.0000102      5.0E-7           .    1.774369
