                                       E      E -1 -1  .  .     38884.8       310.3        1.43           .           .           .           .           .           .           .
                                 A ^1 Pi      A  1  1  .  .     32889.5       375.0        1.51           .           .           .           .           .           .           .
                               a (^3 Pi)      a  1  3  .  .           .           .           .           .           .           .           .           .           .           .
                            X ^1 Sigma^+      X  0  1  +  .           0       575.8        1.80           . 0.186565757 0.000749103           .    7.883E-8       1E-10    2.012086
