                                 b ^3 Pi      b  1  3  .  .     (30940)       (419)        (50)           .      (3.53)      (0.85)           .           .           .      (2.22)
                            A ^1 Sigma^+      A  0  1  +  .       22719     310.6$c           .           .       1.696           .           .     2.27E-4           .       3.209
                            X ^1 Sigma^+      X  0  1  +  .           0      1172.2       19.72       0.160      4.9012      0.1353           .     3.32E-4           .      1.8874
