                                 B ^1 Pi      B  1  1  .  .       50476     [527.3]           .           .     [3.380]       0.283           .    [4.7E-4]           .     [2.271]
                            A ^1 Sigma^+      A  0  1  +  .    35904.52      1135.8       8.181     -0.1479      4.3295    0.068034           .    2.510E-4           .      2.0064
                            X ^1 Sigma^+      X  0  1  +  .           0      1699.1      31.935     -0.1882      6.3870     0.18194           .       3.664           .      1.6519
