                                H' (3/2)     H' -1 -1  .  .           .           .           .           .    [0.3378]           .           .    [4.0E-7]           .    [1.8381]
                                  H" 5/2  H"5/2 -1 -1  .  .           .           .           .           .    [0.3371]           .           .    [4.0E-7]           .    [1.8400]
                                 D (3/2)      D -1 -1  .  .    a'+17720     [672.5]           .           .      0.3534      0.0026           .    [3.2E-7]           .      1.7971
                                   A 5/2   A5/2 -1 -1  .  .           .       903.3         4.7           .      0.3867      0.0024           .    [2.9E-7]           .      1.7180
                                A' (3/2)     A' -1 -1  .  .           .       909.4         4.7           .      0.3847      0.0025           .      3.0E-7           .      1.7224
