                              A ^2 Delta      A  2  2  .  .           .           .           .           .     [4.904]           .           .    [433E-6]           .    [1.8546]
                            a ^4 Sigma^-      a  0  4  -  .           .           .           .           .    [5.3723]           .           .    [298E-6]           .    [1.7719]
                               X ^2 Pi_r      X  1  2  .  .           0           .           .           .   [5.31488]           .           .  [207.5E-6]           .   [1.78146]
