                         B ^2 Sigma_g ^-      B  0  2  -  g       41820         540           .           .           .           .           .           .           .     (1.983)
                         b ^4 Sigma_g ^-      b  0  4  -  g       30920         580           .           .           .           .           .           .           .     (1.936)
                               A ^2 Pi_u      A  1  2  .  u       22390         530           .           .           .           .           .           .           .     (2.042)
                               a ^2 Pi_u      a  1  2  .  u       17440         600           .           .           .           .           .           .           .     (2.058)
                             X ^2 Pi_g,r      X  1  1  .  g         470         790           .           .           .           .           .           .           .     (1.825)
                             X ^2 Pi_g,r      X  1  1  .  g           0         790           .           .           .           .           .           .           .     (1.825)
