                            A (^2 Sigma)      A  0  2  .  .      (1500)       (548)           .           .     (0.470)           .           .           .           .      (1.95)
                               X (^2 Pi)      X  1  2  .  .           0       (526)           .           .     (0.425)           .           .           .           .      (2.05)
