                            B ^2 Sigma^+      B  0  2  +  .       20791       765.5         8.0           .    [0.3722]           .           .    [3.8E-7]           .    [1.8279]
                               A ^2 Pi_r      A  1  1  .  .     16742.2       822.7        3.97           .    [0.3857]    (0.0023)           .    [3.5E-7]           .    [1.7956]
                               A ^2 Pi_r      A  1  1  .  .     16315.0       820.7        3.50           .    [0.3857]    (0.0023)           .    [3.5E-7]           .    [1.7956]
                            X ^2 Sigma^+      X  0  2  +  .           0       861.0        2.93           .    [0.3881]    (0.0018)           .    [3.2E-7]           .    [1.7900]
