                            B ^2 Sigma^+      B  0  2  +  .    13790.17     410.075        0.94           .   [0.11099]   (0.00034)           .  [0.031E-6]           .    [2.4174]
                            X ^2 Sigma^+      X  0  2  +  .           0      456.70       0.965           .   [0.11693]   (0.00034)           .  [0.030E-6]           .    [2.3552]
