                            A ^2 Sigma^+      A  0  2  +  .     28626.5     1606.47       40.31           .      7.5054      0.3313           .  [6.435E-4]           .      1.5142
                               X ^2 Pi_i      X  1  2  .  .           0     2673.69      52.537           .     9.95661     0.32716           .  [5.477E-4]           .     1.31468
