                                 A ^7 Pi      A  1  7  .  .       17597      [1623]        (33)           .       6.425       0.187           .   [3.62E-4]           .       1.628
                              X ^7 Sigma      X  0  7  .  .           0      1548.0        28.8           .      5.6841      0.1570           .  [3.039E-4]           .      1.7311
