                                       E      E -1  1  .  .     (31470)       (170)       (1.2)           .           .           .           .           .           .           .
                                 A ^1 Pi      A  1  1  .  .     27750.8       221.0        0.89           .           .           .           .           .           .           .
                            X ^1 Sigma^+      X  0  1  +  .           0       323.9        0.75           .  0.06533821  0.00017246 -0.00000005     1.18E-8           .    2.340165
