                            b ^1 Sigma^+      b  0  1  +  .    18877.05     1197.49        8.64           .     1.23770     0.01448           .     5.28E-6           .     1.29983
                              a ^1 Delta      a  2  1  .  .  [12003.60]           .           .           .    [1.2225]           .           .    [4.5E-6]           .    [1.3079]
                            X ^3 Sigma^-      X  0  3  -  .           0     1141.37        8.99           .     1.20568     0.01492           .     5.39E-6           .     1.31698
