                              a ^1 Delta      a  2  1  .  .      (6828)      (3000)           .           .           .           .           .           .           .      (1.10)
                            X ^3 Sigma^-      X  0  3  -  .           0      (3025)           .           .           .           .           .           .           .     (1.089)
