lim      
55010.
J      E 
 2  |     0.000  
 3  |   170.132  
 4  |   386.874  
    |            
 1  |  6556.828  
 2  |  6598.749  
 3  |  6661.003  
 4  |  6742.757  
 5  |  6842.964  
    |            
 2  |  7255.369  
    |            
 0  |  8436.618  
 1  |  8492.421  
 2  |  8602.340  
    |            
 2  | 11531.760  
 3  | 11639.804  
 4  | 11776.806  
    |            
 4  | 12118.394  
    |            
 1  | 13981.75   
 2  | 14028.47   
 3  | 14105.68   
    |            
 3  | 15108.121  
 4  | 15156.787  
 5  | 15220.390  
    |            
 2  | 15877.18   
 3  | 15975.59   
 4  | 16106.08   
 5  | 16267.51   
 6  | 16458.71   
    |            
 1  | 16817.19   
 2  | 16875.19   
 3  | 16961.42   
 4  | 17075.31   
 5  | 17215.44   
    |            
 1  | 17369.59   
 2  | 17423.853  
 3  | 17540.205  
    |            
 0  | 17995.75   
 1  | 18061.54   
 2  | 18145.40   
    |            
 4  | 18037.225  
 5  | 18141.229  
 6  | 18192.577  
    |            
 4  | 18287.560  
    |            
 0  | 18462.83   
 1  | 18482.86   
 2  | 18525.07   
 3  | 18593.99   
 4  | 18695.23   
    |            
 0  | 18818.23   
 1  | 18825.89   
 2  | 18911.399  
    |            
 2  | 19322.988  
 3  | 19421.576  
 4  | 19573.968  
    |            
 1  | 19937.859  
 2  | 20006.032  
 3  | 20126.055  
    |            
 1  | 20062.98   
    |            
 2  | 20209.444  
    |            
 5  | 20795.599  
    |            
 3  | 21469.494  
 4  | 21588.496  
 5  | 21739.713  
    |            
 2  | 22081.198  
    |            
 3  | 22404.69   
    |            
 4  | 24694.895  
    |            
 1  | 24921.110  
    |            
 2  | 25102.88   
    |            
 2  | 25107.417  
 3  | 25227.217  
 4  | 25388.334  
    |            
 1  | 25317.813  
    |            
 2  | 25438.898  
    |            
 2  | 25493.722  
 1  | 25537.276  
    |            
 0  | 25605.03   
 1  | 25635.74   
 2  | 25699.95   
 3  | 25797.60   
 4  | 25926.771  
    |            
 3  | 25643.695  
    |            
 2  | 26494.322  
 3  | 26564.385  
 4  | 26657.409  
 5  | 26772.965  
 6  | 26910.705  
    |            
 2  | 26803.417  
 3  | 26892.926  
 4  | 27025.652  
    |            
 1  | 27355.042  
 2  | 27418.015  
 3  | 27480.047  
    |            
 3  | 27498.975  
 4  | 27614.667  
 5  | 27750.124  
    |            
 1  | 27665.57   
 2  | 27740.19   
 3  | 27887.74   
    |            
 2  | 27907.026  
    |            
 1  | 28596.293  
 2  | 28638.832  
 3  | 28702.768  
 4  | 28788.372  
 5  | 28896.062  
    |            
 0  | 28772.86   
 1  | 28791.62   
 2  | 28828.51   
 3  | 28882.44   
 4  | 28952.10   
    |            
 1  | 29661.232  
 2  | 29768.655  
    |            
 3  | 29818.31   
    |            
 0  | 29829.097  
 1  | 29855.248  
 2  | 29907.273  
 3  | 29986.185  
 4  | 30060.328  
    |            
 3  | 29912.262  
    |            
 3  | 29914.720  
 4  | 29971.078  
 5  | 30039.211  
    |            
 1  | 31184.021  
 2  | 31190.631  
 3  | 31205.985  
    |            
 3  | 31373.801  
 4  | 31489.451  
 5  | 31628.668  
    |            
 0  | 31685.90   
 1  | 31725.75   
 2  | 31805.94   
    |            
 4  | 31829.972  
 5  | 31914.277  
 6  | 32013.534  
    |            
 3  | 32857.721  
    |            
 0  | 33085.153  
 1  | 33090.492  
 2  | 33114.412  
    |            
 2  | 33655.853  
 3  | 33680.130  
 4  | 33700.874  
    |            
 1  | 33660.671  
    |            
 2  | 33980.639  
 3  | 34078.580  
 4  | 34204.971  
    |            
 0  | 34170.95   
 1  | 34327.96   
 2  | 34535.04   
    |            
 5  | 34700.212  
    |            
 1  | 34947.120  
    |            
 2  | 35035.147  
    |            
 1  | 35439.228  
    |            
 4  | 35454.051  
 5  | 35559.627  
 6  | 35685.160  
    |            
 0  | 35503.40   
 1  | 35527.76   
 2  | 35577.14   
 3  | 35652.95   
 4  | 35757.51   
    |            
 1  | 35959.07   
 2  | 36013.57   
 3  | 36096.47   
 4  | 36208.92   
 5  | 36351.43   
    |            
 4  | 36000.144  
    |            
 3  | 36065.75   
 4  | 36132.21   
 5  | 36200.94   
    |            
 1  | 36298.43   
 2  | 36340.67   
 3  | 36414.58   
    |            
 0  | 37090.65   
 1  | 37172.947  
 2  | 37325.407  
    |            
 2  | 37359.13   
    |            
 2  | 37538.804  
 3  | 37659.927  
 4  | 37824.748  
    |            
 3  | 37555.021  
 4  | 37617.868  
 5  | 37690.320  
    |            
 3  | 37622.573  
    |            
 2  | 37654.77   
 3  | 37743.933  
 4  | 37852.434  
    |            
 1  | 37852.021  
 2  | 37976.78   
 3  | 38159.71   
    |            
 0  | 38200.94   
    |            
 2  | 38451.298  
 3  | 38544.38   
 4  | 38670.710  
    |            
 5  | 38572.692  
 6  | 38668.832  
 7  | 38779.856  
    |            
 1  | 38654.23   
 2  | 38699.767  
 3  | 38764.832  
    |            
 4  | 38959.499  
    |            
 1  | 39077.713  
    |            
 1  | 39107.25   
 2  | 39149.26   
 3  | 39214.38   
 4  | 39302.36   
 5  | 39412.78   
    |            
 4  | 39115.958  
 5  | 39152.057  
