Do    sigma     #states
6.8    1       6
state   Te       gel     Be     alfe    we       wxe
X       0.0       6     0.5355  0.003  1008.26   4.13
a     10000.      2     0.5377  0.003  900.      4.
A     14242.6     6     0.5074  0.0032 867.71    3.94
C     19500.      6     0.4889  0.0029 837.86    4.54
b     21273.      2     0.5135  0.003  900.      4.
c     27841.      2     0.5226  0.003  900.      4.
###
