KCl     4.3400    9.9705 -0.7106  1.6598 -3.9857  2.6197  0.0000   5.6860 -2.3016  0.2086  0.1763  0.0000
CaCl    4.0900    9.6477 -1.0163  1.5882 -2.6090  1.2516  0.0000   5.7494 -2.3340  0.8685 -0.5306  0.0000 
H2      4.4781   11.1759 -0.8735 -0.7470  0.2748  0.0000  0.0000   1.6498 -1.6265  0.7472 -0.2751  0.0000
H2+     2.6508    9.9835 -0.0664 -1.4979 -0.0195  0.7486  0.0000   2.5410 -2.4336  1.4979  0.0192 -0.7483
H2-     0.7300   11.1759 -0.8735 -0.7470  0.2748  0.0000  0.0000   1.9508 -1.6265  0.7472 -0.2751  0.0000
C2      6.2100   11.4576 -0.4458 -0.1818  0.0000  0.0000  0.0000   4.3091 -2.2406  0.4865 -0.2049  0.0000
N2      9.7594   11.8838 -0.8915  0.2929 -1.4220  0.9007  0.0000   3.2643 -1.7303  0.4192  0.0000  0.0000
O2      5.1156   11.8558 -0.5309 -0.6214  0.0000  0.0000  0.0000   4.0636 -2.0779  0.7660 -0.2111  0.0000
Al2     1.5500   10.3474 -0.2333 -0.2761 -0.7144  0.6243  0.0000   5.5538 -2.3365  0.5754 -0.2119  0.0000
Si2     3.2100   11.0799 -0.7830 -0.3694  0.8076 -0.8107  0.0000   5.2617 -2.1485  0.5647 -0.2985  0.0000
S2      4.3693   11.2917 -0.6065 -0.1125 -0.3562  0.0000  0.0000   5.0796 -2.1967  0.4101  0.0000  0.0000
end
