                                       F      F -1 -1  .  .       47770         370       (7.8)           .           .           .           .           .           .           .
                                 E (0^+)     E0 -1 -1  .  .     (34000)           .           .           .           .           .           .           .           .           .
                                     D 1     D1 -1 -1  .  .     29653.2      297.83       1.365           .     0.10160     0.00064           .           .           .       2.447
                                  C' (1)     C' -1 -1  .  .     25024.4      283.95       1.171           .           .           .           .           .           .           .
                                 C (0^+)     C0 -1 -1  .  .     23212.9      303.93       1.436           .           .           .           .           .           .           .
                                     B 1     B1 -1 -1  .  .     21847.4      282.17       0.856           .     0.09992    0.000602           .           .           .       2.467
                                   A 0^+     A0 -1 -1  .  .     18853.0      260.83       0.363           .     0.09634    0.000262           .           .           .       2.513
                                     a 1     a1 -1 -1  .  .     14892.9       285.9      (0.88)           .     0.09267    0.000374           .           .           .       2.562
                            X ^1 Sigma^+      X  0  1  +  .           0      429.40        1.30           .  0.11631868  0.00043509           .    3.415E-8     1.3E-10    2.286863
