                              b ^1 Sigma      b  0  1  .  .     (27941)      (1952)           .           .    [1.8202]           .           .[0.00000633]           .    [1.1917]
                              a ^1 Sigma      a  0  1  .  .         (0)      (1787)           .           .    [1.7799]           .           .[0.00000706]           .    [1.2052]
