                                       A      A -1 -1  .  .       17933       (952)           .           .      0.3906      0.0022           .     2.63E-7           .      1.7137
                                     (X)        -1 -1  .  .           0   [1051.12]      (3.41)           .     0.41287     0.00181           .     2.52E-7           .      1.6668
