                            B ^2 Sigma^+      B  0  2  +  .           .           .           .           .    [0.7103]           .           .   [11.9E-7]           .    [1.5271]
                            X ^2 Sigma^+      X  0  2  +  .           0           .           .           .    [0.7178]           .           .   [12.0E-7]           .    [1.5191]
