                               A ^2 Pi_r      A  1  2  .  .           .           .           .           .    [11.565]           .           .   [0.00124]           .    [1.2565]
                            X ^2 Sigma^+      X  0  2  +  .           .           .           .           .    [12.374]           .           .     0.00125           .    [1.2147]
