                                       D      D -1 -1  .  .           .           .           .           .           .           .           .           .           .           .
                                       D      D -1 -1  .  .           .           .           .           .           .           .           .           .           .           .
                               C (^1 Pi)      C  1  1  .  .           .           .           .           .           .           .           .           .           .           .
                              A ^3 Pi_0+      A  1  3  .  .     31049.4   (223.1)()        11.4        1.33    0.092270     0.00131           .     0.75E-7           .      2.4730
                            X ^1 Sigma^+      X  0  1  +  .           0  (283.75)()       0.818           . 0.091397022 0.000397932    4.170E-7   0.3753E-7           .    2.484826
