                            A ^3 Pi_i  0      A  1  3  .  .           .    [1207.5]           .           .    [6.5623]       0.886           .  [0.000703]           .    [1.6203]
                            A ^3 Pi_i  1      A  1  3  .  .           .           .           .           .    [6.4726]           .           .  [0.000624]           .           .
                            A ^3 Pi_i  2      A  1  3  .  .           .           .           .           .    [6.3387]           .           .  [0.000554]           .           .
                            X ^3 Sigma^-      X  0  3  -  .           0      (2130)           .           .    [7.1998]           .           .  [0.000329]           .    [1.5344]
