                                     A_2    A_2 -1 -1  .  .           .           .           .           .           .           .           .           .           .           .
                            A_1  Omega=4    A_1 -1 -1  .  .           .    [1527.8]           .           .       6.701       0.305           .  [0.000620]           .      1.5934
                            X_1  Omega=4    X_1 -1 -1  .  .           0           .           .           .     [7.151]           .           .  [0.000405]           .    [1.5424]
