                              D ^1 Sigma      D  0  1  .  .     (24863)     [567.1]           .           .   [0.33671]           .           .   [5.19E-7]           .   [1.84035]
                              A ^1 Sigma      A  0  1  .  .    16995.12      727.07        5.42           .     0.35385     0.00291           .     3.27E-7           .     1.79523
                            (X) ^1 Sigma      X  0  1  .  .           0     851.11X        4.98           .     0.38224     0.00283           .     3.05E-7           .     1.72726
