                       C_2  ^2 Delta_3/2    C_2  2  1  .  .           .           .           .           .     [6.311]           .           .    [7.6E-4]           .     [1.642]
                       C_1  ^2 Delta_5/2    C_1  2  2  .  .           .           .           .           .     [6.156]           .           .    [6.1E-4]           .    [1.6627]
                          B ^2 Delta_5/2      B  2  2  .  .       16193      1570.9       34.55           .           .           .           .           .           .           .
                          A ^2 Delta_5/2      A  2  2  .  .           .           .           .           .     [6.283]           .           .   [4.75E-4]           .    [1.6458]
                       X_2  ^2 Delta_3/2    X_2  2  2  .  .       (980)           .           .           .     [7.781]           .           .    [5.9E-4]           .    [1.4789]
                       X_1  ^2 Delta_5/2    X_1  2  2  .  .           0    [1926.6]        (38)           .     [7.700]       0.231           .   [4.81E-4]           .      1.4756
