                            E (^2 Sigma)      E  0  2  .  .   (48186.4)     (345.4)       (5.0)           .           .           .           .           .           .           .
                               C (^2 Pi)      C  1  1  .  .     33977.9       381.8         1.0           .           .           .           .           .           .           .
                               C (^2 Pi)      C  1  1  .  .     33593.4       384.0         1.1           .           .           .           .           .           .           .
                            B (^2 Sigma)      B  0  2  .  .     (27316)     (185.0)      (0.53)           .           .           .           .           .           .           .
                            X (^2 Sigma)      X  0  2  .  .           0       390.5        1.55           .           .           .           .           .           .           .
