                            b ^1 Sigma^+      b  0  1  +  .      [8460]      (2100)           .           .           .           .           .           .           .        1.50
                              a ^1 Delta      a  2  1  .  .      [4580]      (2100)           .           .           .           .           .           .           .        1.50
                            X ^3 Sigma^-      X  0  3  -  .         [0]      (2175)           .           .           .           .           .           .           .       1.474
