                            B (^2 Sigma)      B  0  1  .  .     [41074]           .           .           .           .           .           .           .           .           .
                              A ^2 Delta      A  2  2  .  .       25454   [1185.15]       (127)           .       6.535      0.6196           .  [0.000571]           .       1.611
                          a ^4 Sigma(^-)      a  0  4  -  .     [16747]           .           .           .    [6.7654]           .           .  [0.000460]           .    [1.5834]
                               X ^2 Pi_r      X  1  2  .  .           0   [1833.77]        (37)           .      6.7259      0.1916           .  [0.000326]           .      1.5880
