                                 A ^2 Pi      A  1  1  .  .       13971       [438]           .           .           .           .           .           .           .           .
                                 A ^2 Pi      A  1  1  .  .       13462       [447]           .           .           .           .           .           .           .           .
                              X ^2 Sigma      X  0  2  .  .           0       [483]           .           .           .           .           .           .           .           .
