                            A ^1 Sigma^+      A  0  1  +  .       46700        1365          15           .       5.767       0.105           .      4.0E-4           .       1.716
                            X ^1 Sigma^+      X  0  1  +  .           0        1916          39        -0.2       7.407       0.238           .      4.8E-4           .       1.515
