                            B (^7 Sigma)      B  0  7  .  .       40807       [320]           .           .           .           .           .           .           .           .
                               A (^7 Pi)      A  1  7  .  .     27005.0     [407.9]           .           .           .           .           .           .           .           .
                            X (^7 Sigma)      X  0  7  .  .           0     [382.4]           .           .           .           .           .           .           .           .
