                                 B ^1 Pi      B  1  1  .  .       34912    [130.73]           .           .       3.383       0.986      -0.045    [2.6E-3]           .       2.378
                            A ^1 Sigma^+      A  0  1  +  .       26516    [280.96]           .           .    [2.8536]           .           .  [1.187E-3]           .       2.605
                            X ^1 Sigma^+      X  0  1  +  .           0     1405.65       23.20       0.163      7.5131      0.2132     0.00075   0.8617E-3  -0.0160E-3      1.5957
