                                 B ^1 Pi      B  1  1  .  .       28136     [394.0]           .           .      0.1277      0.0002           .      (3E-7)           .       2.314
                            X ^1 Sigma^+      X  0  1  +  .           0      500.07       1.632      0.0025      0.1406      0.0005           .      0.4E-7           .       2.205
