                              B ^2 Sigma      B  0  2  .  .     25706.9       762.9        3.44           .  [(0.4013)]           .           .  [(2.9E-7)]           .  [(1.7988)]
                              X ^2 Sigma      X  0  2  .  .           0       767.5        6.24           .  [(0.4271)]           .           .  [(3.7E-7)]           .  [(1.7436)]
