                            A ^2 Sigma^+      A  0  2  +  .    25449.82     1496.07      88.423      -7.328     11.7536      1.0261     -0.0933  [28.89E-4]           .      1.2242
                               X ^2 Pi_i      X  1  2  .  .           0     3090.48      88.996           .     17.5771      8.8863      0.0142  [22.05E-4]           .      1.0011
