                               A ^2 Pi_r      A  1  1  .  .           .           .           .           .    [0.4798]           .           .           .           .    [1.7029]
                              X ^2 Sigma      X  0  2  .  .           0           .           .           .    [0.4832]           .           .           .           .    [1.6969]
