                       A_2  ^2 Delta_5/2    A_2  2  1  .  .           .           .           .           .    [0.4956]           .           . [0.0000012]           .     [1.815]
                       A_1  ^2 Delta_3/2    A_1  2  1  .  .           .           .           .           .           .           .           .           .           .           .
                          X_2  ^2 Pi_3/2    X_2  1  2  .  .           .           .           .           .    [0.4877]           .           . [0.0000006]           .     [1.823]
                          X_1  ^2 Pi_1/2    X_1  1  2  .  .           0           .           .           .           .           .           .           .           .     [1.823]
