                            B (^2 Sigma)      B  0  2  .  .       35199       382.1        1.05           .           .           .           .           .           .           .
                                 A (1/2)      A -1 -1  .  .     21865.0       228.7        0.78           .           .           .           .           .           .           .
                          X_2  ^2 Pi_3/2    X_2  1  2  .  .      8272.2       321.6         0.3           .           .           .           .           .           .           .
                          X_1  ^2 Pi_1/2    X_1  1  2  .  .           0       303.9        0.88           .           .           .           .           .           .           .
