                                       x      x -1 -1  .  .           .           .           .           .           .           .           .           .           .           .
                                       x      x -1  1  .  .           .           .           .           .           .           .           .           .           .           .
                         G ^2 Sigma_g ^+      G  0  2  +  g    (195000)           .           .           .           .           .           .           .           .           .
                         C ^2 Sigma_u ^+      C  0  2  +  u     64608.1      2071.5        9.29       -0.43    [1.5098]           .           .      4.0E-6           .    [1.2628]
                              D ^2 Pi_gi      D  1  2  .  g     52318.2      907.71       11.91       0.016       1.113       0.020           .        5E-6           .       1.471
                       (a ^4 Sigma_u ^+)      a  0  4  +  u     (25467)      (2398)        (14)           .     (2.071)     (0.014)           .           .           .           .
                         B ^2 Sigma_u ^+      B  0  2  +  u    25461.46     2419.84      23.189     -0.5375   [2.07456]       0.024           .     6.17E-6           .      1.0742
                              A ^2 Pi_ui      A  1  2  .  u     9166.95     1903.70       15.02           .      1.7444     0.01883           .      5.6E-6           .      1.1749
                         X ^2 Sigma_g ^+      X  0  2  +  g           0     2207.00       16.10      -0.040     1.93176     0.01881           .   [6.10E-6]           .     1.11642
