                               A ^3 Pi_i      A  1  3  .  .           .           .           .           .    [7.4747]           .           .   [62.7E-5]           .     [1.520]
                            X ^2 Sigma^-      X  0  2  -  .           0           .           .           .    [9.1340]           .           .   [48.9E-5]           .    [1.3744]
