                                       B      B -1 -1  .  .     19238.3       316.3        1.45           .           .           .           .           .           .           .
                                       A      A -1 -1  .  .     19113.8       312.0        0.70           .           .           .           .           .           .           .
                          X (^1 Sigma^+)      X  0  1  +  .           0       382.8        1.30           .           .           .           .           .           .           .
