                                 A ^1 Pi      A  1  1  .  .     35999.7     [853.3]        8.24           .      0.5018       0.009           .  0.00000066           .       1.687
                            (^1 Sigma^+)         0  1  +  .           .           .           .           .    [0.5011]           .           .   [8.8E-07]           .     [1.689]
                            X ^1 Sigma^+      X  0  1  +  .           0     1068.54        5.41        0.04     0.54551    0.003366           .  0.00000053           .     1.61843
