                            A ^2 Delta_r      A  2  1  .  .           .     [848.1]           .           .   [0.70620]           .           .   [1.84E-4]           .    [1.6346]
                             X ^2 Pi_3/2      X  1  2  .  .           .    [865.48]           .           .     0.70099     0.00678           .     1.89E-4           .       1.645
                             X ^2 Pi_1/2      X  1  2  .  .           0    [866.72]         6.2           .      0.6936     0.00672           .      1.9E-4           .       1.645
