                         A ^2 Sigma_g ^-      A  0  2  -  g     (40143)      (1340)           .           .     [1.648]           .           .   [100E-07]           .     [1.306]
                             (X) ^2 Pi_u      X  1  2  .  u           0      (1350)           .           .     [1.659]           .           .   [100E-07]           .     [1.301]
