                              B ^3 Pi_0+      B  1  3  .  .     18272.0       372.2        3.49           .           .           .           .           .           .           .
                               A ^3 Pi_1      A  1  3  .  .     (17385)       (378)        (16)           .           .           .           .           .           .           .
                            X ^1 Sigma^+      X  0  1  +  .           0      670.75       4.054           .   0.355843E    0.002612           .   (4.01E-7)           .     1.75894
