                              B ^2 Sigma      B  0  2  .  .           .           .           .           .    [0.5745]           .           .    [6.4E-7]           .    [1.6454]
                               A ^2 Pi_r      A  1  2  .  .           .           .           .           .    [0.6103]           .           .     [13E-7]           .    [1.5964]
                              X ^2 Sigma      X  0  2  .  .           0           .           .           .    [0.6211]           .           .     [13E-7]           .    [1.5825]
