                                       A      A -1 -1  .  .           .           .           .           .           .           .           .           .           .           .
                            X ^1 Sigma^+      X  0  1  +  .           0         428       (2.4)           . 0.279937413 2.335038E-3           .  0.04834E-5           .    2.171457
